NACE,Industrial Ecosystem,Horizontal code or not,NACE (Level 2),TIME_PERIOD,geo,Value added weight,Industrial Ecosystem&NACE&Horizontal code or not,Horizontal NACE code,Turnover weight,Persons employed weight,Employees in FTEs weight,Amount of Enterprises weight
M71,Construction,TRUE,M71,2018,BE,0.006176322,ConstructionC25TRUE,C25,0.006176322,0.006176322,0.006176322,0.006176322
N81,Construction,TRUE,N81,2018,BE,0.005969735,ConstructionC25TRUE,C25,0.005969735,0.005969735,0.005969735,0.005969735
C31,Construction,TRUE,C31,2018,BE,0.002918794,ConstructionC25TRUE,C25,0.002918794,0.002918794,0.002918794,0.002918794
F41,Construction,TRUE,F41,2019,BE,0.088047282,ConstructionC25TRUE,C25,0.088047282,0.088047282,0.088047282,0.088047282
F42,Construction,TRUE,F42,2019,BE,0.046906684,ConstructionC25TRUE,C25,0.046906684,0.046906684,0.046906684,0.046906684
F43,Construction,TRUE,F43,2019,BE,0.193920332,ConstructionC25TRUE,C25,0.193920332,0.193920332,0.193920332,0.193920332
M71,Construction,TRUE,M71,2019,BE,0.006569824,ConstructionC25TRUE,C25,0.006569824,0.006569824,0.006569824,0.006569824
N81,Construction,TRUE,N81,2019,BE,0.006729857,ConstructionC25TRUE,C25,0.006729857,0.006729857,0.006729857,0.006729857
C31,Construction,TRUE,C31,2019,BE,0.00317529,ConstructionC25TRUE,C25,0.00317529,0.00317529,0.00317529,0.00317529
F41,Construction,TRUE,F41,2020,BE,0.095940161,ConstructionC25TRUE,C25,0.095940161,0.095940161,0.095940161,0.095940161
F42,Construction,TRUE,F42,2020,BE,0.055873184,ConstructionC25TRUE,C25,0.055873184,0.055873184,0.055873184,0.055873184
F43,Construction,TRUE,F43,2020,BE,0.214964537,ConstructionC25TRUE,C25,0.214964537,0.214964537,0.214964537,0.214964537
M71,Construction,TRUE,M71,2020,BE,0.008260879,ConstructionC25TRUE,C25,0.008260879,0.008260879,0.008260879,0.008260879
N81,Construction,TRUE,N81,2020,BE,0.003576388,ConstructionC25TRUE,C25,0.003576388,0.003576388,0.003576388,0.003576388
C31,Construction,TRUE,C31,2020,BE,0.003589305,ConstructionC25TRUE,C25,0.003589305,0.003589305,0.003589305,0.003589305
